frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
234,1.952653,8.906708e-01,1.762466e+02,1.902915e-05,2.117408e+00,3.059575e-01,-2.369261e+00
235,1.960998,8.941962e-01,1.753237e+02,2.868361e-05,2.711234e+00,3.097844e-01,-2.343902e+00
236,1.969342,9.004807e-01,1.737223e+02,7.047287e-05,3.396051e+00,3.062921e-01,-2.366450e+00
237,1.977687,9.018791e-01,1.719125e+02,6.144244e-05,3.086971e+00,3.042556e-01,-2.379863e+00
238,1.986032,9.030182e-01,1.705727e+02,5.201504e-05,2.550297e+00,3.042575e-01,-2.379850e+00
239,1.994376,9.037603e-01,1.696957e+02,8.291301e-06,1.778178e+00,2.995566e-01,-2.411458e+00
240,2.002721,9.028361e-01,1.690446e+02,4.969682e-06,1.430211e+00,2.936499e-01,-2.451962e+00
241,2.011066,8.995742e-01,1.686129e+02,9.011243e-06,1.774944e+00,2.767870e-01,-2.571748e+00
242,2.019410,8.934422e-01,1.683970e+02,1.263156e-05,1.923358e+00,2.568730e-01,-2.725260e+00
243,2.027755,8.839810e-01,1.683970e+02,1.453360e-05,2.177791e+00,2.337360e-01,-2.912943e+00
244,2.036100,8.688073e-01,1.681843e+02,1.013138e-05,1.727077e+00,2.073646e-01,-3.158218e+00
245,2.044444,8.592851e-01,1.675497e+02,2.481002e-06,1.056108e+00,1.848080e-01,-3.389649e+00
246,2.052789,8.642414e-01,1.667056e+02,4.342075e-07,7.507411e-01,1.633681e-01,-3.628670e+00
247,2.061134,8.806354e-01,1.664961e+02,3.092130e-07,6.730957e-01,1.516905e-01,-3.774875e+00
248,2.069478,8.965337e-01,1.671308e+02,4.675632e-07,7.769820e-01,1.487246e-01,-3.812285e+00
249,2.077823,9.040394e-01,1.679749e+02,9.259747e-07,9.001925e-01,1.481345e-01,-3.820246e+00
250,2.086168,9.068002e-01,1.686129e+02,8.727102e-07,8.174866e-01,1.501478e-01,-3.792641e+00
251,2.094512,9.045822e-01,1.690446e+02,1.076122e-05,1.456997e+00,1.472939e-01,-3.830735e+00
252,2.102857,8.988705e-01,1.699183e+02,1.011122e-05,1.153242e+00,1.541161e-01,-3.744047e+00
253,2.111202,8.634210e-01,1.710180e+02,1.098450e-05,1.478872e+00,1.680347e-01,-3.579256e+00
254,2.119546,8.165328e-01,1.721280e+02,2.331713e-06,1.068614e+00,1.923939e-01,-3.308085e+00
255,2.127891,7.998171e-01,1.732520e+02,2.625988e-06,1.287164e+00,2.210835e-01,-3.032125e+00
256,2.136236,8.259954e-01,1.743973e+02,1.843142e-06,1.073981e+00,2.545768e-01,-2.749920e+00
257,2.144580,8.654181e-01,1.765223e+02,9.776819e-07,9.494136e-01,2.855723e-01,-2.513693e+00
258,2.152925,8.802916e-01,1.799361e+02,1.161066e-05,1.575868e+00,3.113258e-01,-2.336597e+00
259,2.161270,8.837993e-01,1.841965e+02,2.022505e-05,2.229702e+00,3.297093e-01,-2.220948e+00
